YMD,지점,평균기온,최저기온,최고기온,강수량,미세먼지
2019-08-17,전국,26.2,22,31,2.1,27.74074074
2019-08-18,전국,25.3,21.1,30.8,0,25
2019-08-19,전국,25.1,20,30.8,0.4,25.68
2019-08-20,전국,26,21.7,30.9,0.2,28.14814815
2019-08-21,전국,25.8,22.5,30.1,8.6,27.73076923
2019-08-22,전국,25.8,23,30.3,25.2,26
2019-08-23,전국,24.7,20.8,29.5,0,28.2962963
2019-08-24,전국,22.8,18.9,27.6,0,23.78571429
2019-08-25,전국,23.2,18.9,28.7,1.2,19.43478261
2019-08-26,전국,24.3,19,30,0.1,21.39285714
2019-08-27,전국,22.7,20.5,25.4,16.7,19.16
2019-08-28,전국,23.8,21,27.7,0.9,19.20833333
2019-08-29,전국,22.4,19.9,25.7,4.2,24.2
2019-08-30,전국,22.9,18.6,28.1,0.2,19.26086957
2019-08-31,전국,22.6,17.6,28.5,0,16.125
2019-09-01,전국,22.1,18,26.8,0.8,20.125
2019-09-02,전국,21.6,19.1,25.1,11.4,19.75
2019-09-03,전국,22.1,20.1,24.8,13.1,16.45833333
2019-09-04,전국,23.4,21.4,26.2,11.9,12.08695652
2019-09-05,전국,24.2,21.8,29,22,16.3
2019-09-06,전국,25.4,22.1,28.9,2.9,17.24
2019-09-07,전국,25.8,22.6,29.1,12.3,19.21052632
2019-09-08,전국,24.6,21.8,28.5,0.8,23.86956522
2019-09-09,전국,24.7,22.4,28.3,8,24.48
2019-09-10,전국,25.4,22.5,29.6,15.3,22
2019-09-11,전국,23.9,21.5,27.8,7.4,19.13636364
2019-09-12,전국,20.8,18.6,23.5,5.6,12.63636364
2019-09-13,전국,21.7,17.1,27.4,0,14.45454545
2019-09-14,전국,22.3,17.4,27.5,0.1,15.18181818
2019-09-15,전국,23.4,19.7,28.8,0.4,15.52173913
2019-09-16,전국,22.4,18.1,28.2,0.2,16.56521739
2019-09-17,전국,21.3,15.5,27.8,0,18.63636364
2019-09-18,전국,21,15.4,27.9,0,24.66666667
2019-09-19,전국,19.2,13.5,25.6,0,23.375
2019-09-20,전국,19.3,15,23.7,0,19.69565217
2019-09-21,전국,17.8,16,20.7,40.1,13.95
2019-09-22,전국,17.5,16.1,19.1,65.1,14.44444444
2019-09-23,전국,18.1,14.4,22.5,0.4,13.61111111
2019-09-24,전국,17.8,12.6,25,0,20.61904762
2019-09-25,전국,18.4,12.6,24.8,0,23.52380952
